theta1_deg,m04_theta1_return_delta_mm,theta2_deg,m04_theta2_return_delta_mm
13.8,1.626644,33.8,2.387059
14.0,1.650802,34.0,2.401675
14.2,1.674954,34.2,2.416294
14.4,1.699102,34.4,2.430916
14.6,1.723245,34.6,2.445540
14.8,1.747383,34.8,2.460167
15.0,1.771515,35.0,2.474797
15.2,1.795642,35.2,2.489428
15.4,1.819764,35.4,2.504062
15.6,1.843880,35.6,2.518698
15.8,1.867991,35.8,2.533336
16.0,1.892096,36.0,2.547982
16.2,1.916195,36.2,2.562629
16.4,1.940289,36.4,2.577280
16.6,1.964377,36.6,2.591934
16.8,1.988459,36.8,2.606592
17.0,2.012534,37.0,2.621252
17.2,2.036604,37.2,2.635916
17.4,2.060667,37.4,2.650582
17.6,2.084724,37.6,2.665251
17.8,2.108775,37.8,2.679922
18.0,2.132819,38.0,2.694596
18.2,2.156857,38.2,2.709271
18.4,2.180889,38.4,2.723948
18.6,2.204913,38.6,2.738627
18.8,2.228931,38.8,2.753308
19.0,2.252942,39.0,2.767990
19.2,2.276946,39.2,2.782673
19.4,2.300944,39.4,2.797358
19.6,2.324934,39.6,2.812042
19.8,2.348917,39.8,2.826728
20.0,2.372892,40.0,2.841427
20.2,2.396861,40.2,2.856122
20.4,2.420822,40.4,2.870821
20.6,2.444776,40.6,2.885521
20.8,2.468722,40.8,2.900223
21.0,2.492661,41.0,2.914927
21.2,2.516592,41.2,2.929634
21.4,2.540515,41.4,2.944341
21.6,2.564431,41.6,2.959051
21.8,2.588338,41.8,2.973762
22.0,2.612238,42.0,2.988473
22.2,2.636130,42.2,3.003186
22.4,2.660013,42.4,3.017899
22.6,2.683888,42.6,3.032614
22.8,2.707756,42.8,3.047328
23.0,2.731614,43.0,3.062043
23.2,2.755465,43.2,3.076757
23.4,2.779306,43.4,3.091472
23.6,2.803140,43.6,3.106193
23.8,2.826964,43.8,3.120913
24.0,2.850780,44.0,3.135636
24.2,2.874588,44.2,3.150359
24.4,2.898386,44.4,3.165085
24.6,2.922175,44.6,3.179811
24.8,2.945956,44.8,3.194539
25.0,2.969727,45.0,3.209267
25.2,2.993490,45.2,3.223996
25.4,3.017242,45.4,3.238725
25.6,3.040986,45.6,3.253455
25.8,3.064720,45.8,3.268185
26.0,3.088445,46.0,3.282915
26.2,3.112161,46.2,3.297645
26.4,3.135867,46.4,3.312374
26.6,3.159563,46.6,3.327103
26.8,3.183249,46.8,3.341831
27.0,3.206926,47.0,3.356558
27.2,3.230592,47.2,3.371284
27.4,3.254249,47.4,3.386015
27.6,3.277896,47.6,3.400746
27.8,3.301533,47.8,3.415477
28.0,3.325159,48.0,3.430208
28.2,3.348775,48.2,3.444940
28.4,3.372381,48.4,3.459672
28.6,3.395977,48.6,3.474404
28.8,3.419562,48.8,3.489136
29.0,3.443136,49.0,3.503868
29.2,3.466700,49.2,3.518599
29.4,3.490254,49.4,3.533329
29.6,3.513796,49.6,3.548059
29.8,3.537328,49.8,3.562788
30.0,3.560849,50.0,3.577515
,,50.2,3.592241
,,50.4,3.606965
,,50.6,3.621687
,,50.8,3.636408
,,51.0,3.651126
,,51.2,3.665851
,,51.4,3.680572
,,51.6,3.695293
,,51.8,3.710014
,,52.0,3.724734
,,52.2,3.739453
,,52.4,3.754171
,,52.6,3.768888
,,52.8,3.783603
,,53.0,3.798317
,,53.2,3.813029
,,53.4,3.827739
,,53.6,3.842447
,,53.8,3.857153
,,54.0,3.871856
,,54.2,3.886556
,,54.4,3.901254
,,54.6,3.915949
,,54.8,3.930640
,,55.0,3.945340
,,55.2,3.960033
,,55.4,3.974725
,,55.6,3.989416
,,55.8,4.004105
,,56.0,4.018791
,,56.2,4.033476
,,56.4,4.048158
,,56.6,4.062838
,,56.8,4.077515
,,57.0,4.092189
,,57.2,4.106861
,,57.4,4.121529
,,57.6,4.136193
,,57.8,4.150855
,,58.0,4.165512
,,58.2,4.180165
,,58.4,4.194814
,,58.6,4.209468
,,58.8,4.224116
,,59.0,4.238762
,,59.2,4.253405
,,59.4,4.268046
,,59.6,4.282684
,,59.8,4.297319
,,60.0,4.311951
,,60.2,4.326579
,,60.4,4.341203
,,60.6,4.355824
,,60.8,4.370474
,,61.0,4.385190
